"Title","Writing attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","59","10"
"Boys","Asian","63","11"
"Boys","Bangladeshi","63","10"
"Boys","Indian","72","17"
"Boys","Pakistani","57","7"
"Boys","Asian other","66","13"
"Boys","Black","62","10"
"Boys","Black African","64","11"
"Boys","Black Caribbean","56","7"
"Boys","Black other","60","9"
"Boys","Chinese","72","20"
"Boys","Mixed","61","12"
"Boys","Mixed White/Asian","66","15"
"Boys","Mixed White/Black African","62","12"
"Boys","Mixed White/Black Caribbean","54","7"
"Boys","Mixed other","62","12"
"Boys","White","58","9"
"Boys","White British","58","9"
"Boys","White Irish","61","12"
"Boys","White Irish Traveller","20","1"
"Boys","White Gypsy/Roma","15","1"
"Boys","White other","55","9"
"Boys","Other","55","9"
"Girls","All","73","17"
"Girls","Asian","76","19"
"Girls","Bangladeshi","76","17"
"Girls","Indian","83","27"
"Girls","Pakistani","70","13"
"Girls","Asian other","78","21"
"Girls","Black","76","17"
"Girls","Black African","77","19"
"Girls","Black Caribbean","71","13"
"Girls","Black other","73","16"
"Girls","Chinese","82","29"
"Girls","Mixed","75","19"
"Girls","Mixed White/Asian","79","25"
"Girls","Mixed White/Black African","75","18"
"Girls","Mixed White/Black Caribbean","70","13"
"Girls","Mixed other","76","21"
"Girls","White","72","17"
"Girls","White British","73","17"
"Girls","White Irish","75","22"
"Girls","White Irish Traveller","31","3"
"Girls","White Gypsy/Roma","26","1"
"Girls","White other","67","15"
"Girls","Other","68","14"
