"Title","Writing attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/1/17"

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","","","","","",""
"Barking and Dagenham","68","77","75","69","67","60"
"Barnet","68","78","66","82","67","69"
"Barnsley","64","41","72","!","70","64"
"Bath and North East Somerset","64","72","60","63","61","64"
"Bedford","65","66","70","100","64","64"
"Bexley","75","90","83","81","78","71"
"Birmingham","61","63","65","82","61","59"
"Blackburn with Darwen","67","68","65","!","63","67"
"Blackpool","66","55","!","40","65","67"
"Bolton","64","69","56","!","67","64"
"Bournemouth","62","67","79","79","62","62"
"Bracknell Forest","68","82","71","!","76","67"
"Bradford","64","68","61","79","63","61"
"Brent","68","75","68","!","74","67"
"Brighton and Hove","67","70","64","82","66","67"
"Bristol, City of","62","63","57","81","59","63"
"Bromley","72","84","75","87","73","71"
"Buckinghamshire","65","61","64","76","65","66"
"Bury","63","64","59","!","63","64"
"Calderdale","54","47","44","57","52","56"
"Cambridgeshire","63","66","64","82","69","63"
"Camden","66","64","64","65","71","68"
"Central Bedfordshire","69","83","74","100","63","69"
"Cheshire East","58","63","55","55","66","58"
"Cheshire West and Chester","58","68","38","!","71","58"
"City of London","!","!","!","!","!","!"
"Cornwall","65","78","!","!","68","65"
"County Durham","70","82","67","67","73","70"
"Coventry","62","72","64","75","64","59"
"Croydon","69","79","68","81","68","66"
"Cumbria","57","77","100","69","57","57"
"Darlington","68","58","!","!","78","68"
"Derby","55","64","63","61","58","52"
"Derbyshire","65","77","67","73","66","65"
"Devon","62","63","57","75","65","63"
"Doncaster","64","61","68","63","70","64"
"Dorset","61","67","50","!","68","61"
"Dudley","65","63","78","73","68","64"
"Ealing","62","65","57","!","69","63"
"East Riding of Yorkshire","68","88","!","100","71","68"
"East Sussex","69","76","75","!","72","69"
"Enfield","66","81","66","65","71","63"
"Essex","68","78","73","82","70","68"
"Gateshead","69","68","69","75","58","69"
"Gloucestershire","61","65","60","77","62","62"
"Greenwich","76","86","81","83","77","71"
"Hackney","78","80","77","83","82","77"
"Halton","54","100","!","!","54","54"
"Hammersmith and Fulham","70","73","68","100","67","74"
"Hampshire","70","77","73","81","73","70"
"Haringey","74","82","77","83","79","73"
"Harrow","71","80","63","!","68","62"
"Hartlepool","65","64","56","!","69","65"
"Havering","70","78","74","!","69","69"
"Herefordshire, County of","68","60","100","!","80","67"
"Hertfordshire","71","76","74","89","73","71"
"Hillingdon","66","74","68","63","68","61"
"Hounslow","74","82","67","85","73","70"
"Isle of Wight","68","!","!","!","70","69"
"Isles of Scilly","!","!","!","!","!","!"
"Islington","69","71","65","70","72","70"
"Kensington and Chelsea","75","81","75","!","76","78"
"Kent","71","80","80","81","77","70"
"Kingston upon Hull, City of","65","76","52","!","74","65"
"Kingston upon Thames","65","70","60","75","61","65"
"Kirklees","63","64","66","81","64","62"
"Knowsley","58","89","50","100","73","57"
"Lambeth","72","73","70","75","76","74"
"Lancashire","67","67","73","76","67","67"
"Leeds","54","56","52","60","50","55"
"Leicester","59","66","62","!","58","52"
"Leicestershire","64","75","71","69","68","63"
"Lewisham","73","76","71","74","76","73"
"Lincolnshire","64","86","70","82","67","64"
"Liverpool","53","60","55","61","57","53"
"Luton","62","64","66","42","66","59"
"Manchester","63","63","67","81","67","63"
"Medway","68","76","84","!","75","67"
"Merton","64","71","64","83","58","62"
"Middlesbrough","57","58","76","!","54","58"
"Milton Keynes","65","72","69","78","73","61"
"Newcastle upon Tyne","67","68","68","82","73","67"
"Newham","75","79","77","!","81","65"
"Norfolk","70","80","72","86","72","69"
"North East Lincolnshire","68","77","!","100","75","68"
"North Lincolnshire","72","84","50","100","69","72"
"North Somerset","67","83","!","!","71","67"
"North Tyneside","68","79","78","60","71","67"
"North Yorkshire","63","75","50","76","61","63"
"Northamptonshire","64","74","64","79","65","63"
"Northumberland","70","81","!","!","67","70"
"Nottingham","58","64","66","86","62","55"
"Nottinghamshire","64","60","62","76","66","64"
"Oldham","59","56","50","71","62","63"
"Oxfordshire","62","57","61","82","61","62"
"Peterborough","61","63","66","!","65","60"
"Plymouth","62","80","71","73","69","62"
"Poole","68","79","62","!","78","67"
"Portsmouth","63","63","62","100","63","63"
"Reading","65","70","68","!","58","64"
"Redbridge","68","74","63","77","68","60"
"Redcar and Cleveland","71","53","!","!","70","71"
"Richmond upon Thames","68","72","62","!","68","68"
"Rochdale","61","56","58","!","62","63"
"Rotherham","65","70","60","64","62","65"
"Rutland","70","!","!","!","63","71"
"Salford","67","73","69","63","67","68"
"Sandwell","59","66","63","50","58","56"
"Sefton","63","71","63","!","64","63"
"Sheffield","65","65","65","82","64","65"
"Shropshire","62","80","!","!","70","62"
"Slough","68","76","72","100","69","57"
"Solihull","70","74","71","57","73","69"
"Somerset","67","66","43","67","68","67"
"South Gloucestershire","67","75","63","74","72","66"
"South Tyneside","72","75","75","!","62","72"
"Southampton","69","73","71","80","72","68"
"Southend-on-Sea","69","75","68","71","67","69"
"Southwark","70","77","71","78","67","72"
"St. Helens","58","42","!","50","63","58"
"Staffordshire","68","73","59","71","68","68"
"Stockport","68","74","70","65","70","67"
"Stockton-on-Tees","68","76","72","!","61","68"
"Stoke-on-Trent","61","63","67","70","65","61"
"Suffolk","64","69","59","100","65","64"
"Sunderland","70","72","84","69","77","70"
"Surrey","69","75","78","84","73","69"
"Sutton","68","80","71","88","78","64"
"Swindon","63","71","69","77","68","61"
"Tameside","63","62","71","60","68","63"
"Telford and Wrekin","68","69","83","100","70","68"
"Thurrock","68","76","78","80","68","65"
"Torbay","65","82","!","!","71","65"
"Tower Hamlets","70","72","69","88","71","65"
"Trafford","69","69","70","76","63","69"
"Wakefield","62","58","65","79","69","63"
"Walsall","62","68","71","!","62","61"
"Waltham Forest","74","77","73","80","79","72"
