"Title","Writing attainment for children aged 6 to 7 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","62","11"
"Boys","Asian","66","13"
"Boys","Bangladeshi","63","12"
"Boys","Indian","74","19"
"Boys","Pakistani","59","8"
"Boys","Asian other","68","14"
"Boys","Black","64","11"
"Boys","Black African","66","12"
"Boys","Black Caribbean","58","8"
"Boys","Black other","61","10"
"Boys","Chinese","77","23"
"Boys","Mixed","63","13"
"Boys","Mixed White/Asian","69","16"
"Boys","Mixed White/Black African","64","12"
"Boys","Mixed White/Black Caribbean","56","9"
"Boys","Mixed other","65","13"
"Boys","White","61","11"
"Boys","White British","61","11"
"Boys","White Irish","61","13"
"Boys","White Irish Traveller","18","1"
"Boys","White Gypsy/Roma","18","1"
"Boys","White other","58","10"
"Boys","Other","58","9"
"Girls","All","75","20"
"Girls","Asian","78","22"
"Girls","Bangladeshi","77","20"
"Girls","Indian","85","30"
"Girls","Pakistani","73","15"
"Girls","Asian other","80","25"
"Girls","Black","77","20"
"Girls","Black African","79","21"
"Girls","Black Caribbean","74","15"
"Girls","Black other","74","19"
"Girls","Chinese","87","35"
"Girls","Mixed","78","22"
"Girls","Mixed White/Asian","81","26"
"Girls","Mixed White/Black African","78","22"
"Girls","Mixed White/Black Caribbean","73","16"
"Girls","Mixed other","78","23"
"Girls","White","75","20"
"Girls","White British","76","20"
"Girls","White Irish","74","21"
"Girls","White Irish Traveller","33","4"
"Girls","White Gypsy/Roma","27","2"
"Girls","White other","71","17"
"Girls","Other","69","16"
