"Title","Writing attainment for children aged 6 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"FSM","Ethnicity","%"
"FSM","All","52"
"FSM","Asian","62"
"FSM","Bangladeshi","64"
"FSM","Indian","67"
"FSM","Pakistani","60"
"FSM","Asian other","64"
"FSM","Black","63"
"FSM","Black African","65"
"FSM","Black Caribbean","58"
"FSM","Black other","60"
"FSM","Chinese","75"
"FSM","Mixed","56"
"FSM","Mixed White/Asian","54"
"FSM","Mixed White/Black African","63"
"FSM","Mixed White/Black Caribbean","53"
"FSM","Mixed other","57"
"FSM","White","48"
"FSM","White British","49"
"FSM","White Irish","38"
"FSM","White Irish Traveller","22"
"FSM","White Gypsy/Roma","21"
"FSM","White other","53"
"FSM","Other","57"
"Non-FSM","All","71"
"Non-FSM","Asian","73"
"Non-FSM","Bangladeshi","71"
"Non-FSM","Indian","80"
"Non-FSM","Pakistani","67"
"Non-FSM","Asian other","75"
"Non-FSM","Black","73"
"Non-FSM","Black African","74"
"Non-FSM","Black Caribbean","69"
"Non-FSM","Black other","70"
"Non-FSM","Chinese","82"
"Non-FSM","Mixed","74"
"Non-FSM","Mixed White/Asian","78"
"Non-FSM","Mixed White/Black African","73"
"Non-FSM","Mixed White/Black Caribbean","69"
"Non-FSM","Mixed other","74"
"Non-FSM","White","71"
"Non-FSM","White British","72"
"Non-FSM","White Irish","73"
"Non-FSM","White Irish Traveller","30"
"Non-FSM","White Gypsy/Roma","22"
"Non-FSM","White other","65"
"Non-FSM","Other","65"
