"","White British","","","Other than White British","",""
"Weekly income band","%","Overcrowded households ('000s)","All households ('000s)","%","Overcrowded households ('000s)","All households ('000s)"
"Up to £99","0","0","196","2","1","53"
"£100 to £199","1","9","1,576","7","22","314"
"£200 to £299","1","25","2,164","9","37","400"
"£300 to £399","1","32","2,144","13","59","470"
"£400 to £499","2","35","1,749","14","55","392"
"£500 to £599","2","34","1,648","11","42","364"
"£600 to £699","2","36","1,548","8","27","326"
"£700 to £799","2","27","1,258","7","20","265"
"£800 to £899","2","18","1,095","7","16","232"
"£900 to £999","2","15","887","10","18","186"
"£1000 and above","2","74","4,439","8","73","917"
