"Title","Overcrowded households by ethnicity and area"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Region","%","Overcrowded households ('000s)","All households ('000s)"
"White British","North East","2","18","1,084"
"White British","North West","1","37","2,732"
"White British","Yorkshire and the Humber","1","29","2,002"
"White British","East Midlands","1","19","1,711"
"White British","West Midlands","2","36","1,963"
"White British","East","2","35","2,179"
"White British","London","3","48","1,721"
"White British","South East","2","51","3,204"
"White British","South West","2","34","2,221"
"Other than White British","North East","6","4","60"
"Other than White British","North West","9","32","351"
"Other than White British","Yorkshire and the Humber","6","14","255"
"Other than White British","East Midlands","9","22","236"
"Other than White British","West Midlands","8","30","385"
"Other than White British","East","7","24","334"
"Other than White British","London","12","198","1,654"
"Other than White British","South East","7","37","507"
"Other than White British","South West","8","13","172"
