"Ethnicity","Age group","%","Overcrowded households ('000s)","All households ('000s)"
"White British"," 16 - 24","3","19","562"
"White British"," 25 - 34","3","65","2,364"
"White British"," 35 - 44","3","85","2,855"
"White British"," 45 - 54","2","89","3,742"
"White British"," 55 - 64","1","34","3,295"
"White British"," 65 or over","0","14","5,998"
"Other than White British"," 16 - 24","8","16","201"
"Other than White British"," 25 - 34","10","93","944"
"Other than White British"," 35 - 44","12","130","1,110"
"Other than White British"," 45 - 54","11","88","803"
"Other than White British"," 55 - 64","7","30","436"
"Other than White British"," 65 or over","4","17","458"
