"Title","Life satisfaction by ethnicity and socio-economic group"
"Location","UK"
"Time period","2014 to 2016 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"NS-SEC","Ethnicity",""
"Higher managerial and professional","All","7.86"
"Higher managerial and professional","Arab","7.68"
"Higher managerial and professional","Bangladeshi","7.99"
"Higher managerial and professional","Chinese","7.69"
"Higher managerial and professional","Indian","7.78"
"Higher managerial and professional","Pakistani","7.79"
"Higher managerial and professional","Asian other","7.86"
"Higher managerial and professional","Black","7.50"
"Higher managerial and professional","Mixed","7.66"
"Higher managerial and professional","White","7.88"
"Higher managerial and professional","White Gypsy/Traveller","?"
"Higher managerial and professional","Other","7.85"
"Lower managerial and professional","All","7.79"
"Lower managerial and professional","Arab","7.63"
"Lower managerial and professional","Bangladeshi","7.44"
"Lower managerial and professional","Chinese","7.49"
"Lower managerial and professional","Indian","7.78"
"Lower managerial and professional","Pakistani","7.69"
"Lower managerial and professional","Asian other","7.66"
"Lower managerial and professional","Black","7.20"
"Lower managerial and professional","Mixed","7.49"
"Lower managerial and professional","White","7.82"
"Lower managerial and professional","White Gypsy/Traveller","?"
"Lower managerial and professional","Other","7.48"
"Intermediate occupations","All","7.69"
"Intermediate occupations","Arab","?"
"Intermediate occupations","Bangladeshi","7.38"
"Intermediate occupations","Chinese","7.44"
"Intermediate occupations","Indian","7.63"
"Intermediate occupations","Pakistani","7.71"
"Intermediate occupations","Asian other","7.59"
"Intermediate occupations","Black","7.10"
"Intermediate occupations","Mixed","7.49"
"Intermediate occupations","White","7.72"
"Intermediate occupations","White Gypsy/Traveller","?"
"Intermediate occupations","Other","7.56"
"Small employers and own account workers","All","7.70"
"Small employers and own account workers","Arab","7.17"
"Small employers and own account workers","Bangladeshi","7.82"
"Small employers and own account workers","Chinese","7.72"
"Small employers and own account workers","Indian","7.75"
"Small employers and own account workers","Pakistani","7.57"
"Small employers and own account workers","Asian other","7.48"
"Small employers and own account workers","Black","7.20"
"Small employers and own account workers","Mixed","7.24"
"Small employers and own account workers","White","7.72"
"Small employers and own account workers","White Gypsy/Traveller","?"
"Small employers and own account workers","Other","7.65"
"Lower supervisory and technical","All","7.67"
"Lower supervisory and technical","Arab","?"
"Lower supervisory and technical","Bangladeshi","7.93"
"Lower supervisory and technical","Chinese","?"
"Lower supervisory and technical","Indian","7.66"
"Lower supervisory and technical","Pakistani","7.70"
"Lower supervisory and technical","Asian other","6.97"
"Lower supervisory and technical","Black","7.03"
"Lower supervisory and technical","Mixed","7.42"
"Lower supervisory and technical","White","7.69"
"Lower supervisory and technical","White Gypsy/Traveller","?"
"Lower supervisory and technical","Other","8.02"
"Semi-routine occupations","All","7.49"
"Semi-routine occupations","Arab","7.24"
"Semi-routine occupations","Bangladeshi","7.21"
"Semi-routine occupations","Chinese","7.35"
"Semi-routine occupations","Indian","7.57"
"Semi-routine occupations","Pakistani","7.55"
"Semi-routine occupations","Asian other","7.67"
"Semi-routine occupations","Black","7.05"
"Semi-routine occupations","Mixed","7.05"
"Semi-routine occupations","White","7.52"
"Semi-routine occupations","White Gypsy/Traveller","?"
"Semi-routine occupations","Other","7.26"
"Routine occupations","All","7.47"
"Routine occupations","Arab","?"
"Routine occupations","Bangladeshi","7.45"
"Routine occupations","Chinese","?"
"Routine occupations","Indian","7.68"
"Routine occupations","Pakistani","7.16"
"Routine occupations","Asian other","7.35"
"Routine occupations","Black","7.10"
"Routine occupations","Mixed","7.13"
"Routine occupations","White","7.49"
"Routine occupations","White Gypsy/Traveller","?"
"Routine occupations","Other","7.60"
"Never worked, unemployed, and nec","All","7.53"
"Never worked, unemployed, and nec","Arab","7.52"
"Never worked, unemployed, and nec","Bangladeshi","7.65"
"Never worked, unemployed, and nec","Chinese","7.78"
"Never worked, unemployed, and nec","Indian","7.71"
"Never worked, unemployed, and nec","Pakistani","7.57"
"Never worked, unemployed, and nec","Asian other","7.61"
"Never worked, unemployed, and nec","Black","7.20"
"Never worked, unemployed, and nec","Mixed","7.19"
"Never worked, unemployed, and nec","White","7.54"
"Never worked, unemployed, and nec","White Gypsy/Traveller","?"
"Never worked, unemployed, and nec","Other","7.36"
