"Threshold ","Ethnicity","%"
"Very High (9-10)","All","30.12"
"Very High (9-10)","Arab","23.84"
"Very High (9-10)","Bangladeshi","31.35"
"Very High (9-10)","Chinese","21.76"
"Very High (9-10)","Indian","31.55"
"Very High (9-10)","Pakistani","34.75"
"Very High (9-10)","Asian other","31.30"
"Very High (9-10)","Black","25.18"
"Very High (9-10)","Mixed","22.47"
"Very High (9-10)","White","30.35"
"Very High (9-10)","White Gypsy/Traveller","?"
"Very High (9-10)","Other","28.00"
"High (7-8)","All","51.94"
"High (7-8)","Arab","51.55"
"High (7-8)","Bangladeshi","42.29"
"High (7-8)","Chinese","64.31"
"High (7-8)","Indian","51.06"
"High (7-8)","Pakistani","43.56"
"High (7-8)","Asian other","47.65"
"High (7-8)","Black","46.43"
"High (7-8)","Mixed","55.94"
"High (7-8)","White","52.24"
"High (7-8)","White Gypsy/Traveller","?"
"High (7-8)","Other","52.32"
"Medium (5-6)","All","13.48"
"Medium (5-6)","Arab","19.45"
"Medium (5-6)","Bangladeshi","20.89"
"Medium (5-6)","Chinese","11.52"
"Medium (5-6)","Indian","14.62"
"Medium (5-6)","Pakistani","18.10"
"Medium (5-6)","Asian other","18.14"
"Medium (5-6)","Black","21.07"
"Medium (5-6)","Mixed","16.47"
"Medium (5-6)","White","12.96"
"Medium (5-6)","White Gypsy/Traveller","?"
"Medium (5-6)","Other","15.23"
"Low (0-4)","All","4.46"
"Low (0-4)","Arab","?"
"Low (0-4)","Bangladeshi","?"
"Low (0-4)","Chinese","?"
"Low (0-4)","Indian","2.77"
"Low (0-4)","Pakistani","3.60"
"Low (0-4)","Asian other","?"
"Low (0-4)","Black","7.32"
"Low (0-4)","Mixed","5.12"
"Low (0-4)","White","4.45"
"Low (0-4)","White Gypsy/Traveller","?"
"Low (0-4)","Other","4.45"
