"Title","Well-being: Life satisfaction"
"Location","UK"
"Time period","2012 to 2017"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-03"
"Measure","Year","Ethnicity","Sex","NS-SEC","Threshold","Mean","Percentage","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Life Satisfaction","2012","Arab","All","All","All","7.08","N/A","7.36","6.81","350"
"Life Satisfaction","2013","Arab","All","All","All","7.26","N/A","7.5","7.03","340"
"Life Satisfaction","2014","Arab","All","All","All","7.31","N/A","7.58","7.03","380"
"Life Satisfaction","2015","Arab","All","All","All","7.51","N/A","7.74","7.28","370"
"Life Satisfaction","2016","Arab","All","All","All","7.63","N/A","7.89","7.37","350"
"Life Satisfaction","2017","Arab","All","All","All","7.39","N/A","7.65","7.14","340"
"Life Satisfaction","2012","Bangladeshi","All","All","All","7.25","N/A","7.44","7.05","580"
"Life Satisfaction","2013","Bangladeshi","All","All","All","7.36","N/A","7.55","7.17","560"
"Life Satisfaction","2014","Bangladeshi","All","All","All","7.59","N/A","7.77","7.41","570"
"Life Satisfaction","2015","Bangladeshi","All","All","All","7.6","N/A","7.79","7.4","560"
"Life Satisfaction","2016","Bangladeshi","All","All","All","7.5","N/A","7.73","7.28","560"
"Life Satisfaction","2017","Bangladeshi","All","All","All","7.51","N/A","7.75","7.27","580"
"Life Satisfaction","2012","Black / African / Caribbean / Black British","All","All","All","6.79","N/A","6.88","6.7","3130"
"Life Satisfaction","2013","Black / African / Caribbean / Black British","All","All","All","6.97","N/A","7.05","6.88","3090"
"Life Satisfaction","2014","Black / African / Caribbean / Black British","All","All","All","7.13","N/A","7.22","7.04","3170"
"Life Satisfaction","2015","Black / African / Caribbean / Black British","All","All","All","7.18","N/A","7.27","7.1","3230"
"Life Satisfaction","2016","Black / African / Caribbean / Black British","All","All","All","7.22","N/A","7.32","7.13","3010"
"Life Satisfaction","2017","Black / African / Caribbean / Black British","All","All","All","7.24","N/A","7.34","7.15","2930"
"Life Satisfaction","2012","Chinese","All","All","All","7.44","N/A","7.59","7.29","610"
"Life Satisfaction","2013","Chinese","All","All","All","7.5","N/A","7.62","7.38","590"
"Life Satisfaction","2014","Chinese","All","All","All","7.55","N/A","7.71","7.4","580"
"Life Satisfaction","2015","Chinese","All","All","All","7.58","N/A","7.76","7.39","590"
"Life Satisfaction","2016","Chinese","All","All","All","7.69","N/A","7.85","7.53","580"
"Life Satisfaction","2017","Chinese","All","All","All","7.68","N/A","7.81","7.54","610"
"Life Satisfaction","2012","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Life Satisfaction","2013","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Life Satisfaction","2014","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","30"
"Life Satisfaction","2015","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Life Satisfaction","2016","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Life Satisfaction","2017","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Life Satisfaction","2012","Indian","All","All","All","7.54","N/A","7.62","7.45","2750"
"Life Satisfaction","2013","Indian","All","All","All","7.47","N/A","7.56","7.39","2750"
"Life Satisfaction","2014","Indian","All","All","All","7.68","N/A","7.76","7.6","2880"
"Life Satisfaction","2015","Indian","All","All","All","7.74","N/A","7.82","7.65","2730"
"Life Satisfaction","2016","Indian","All","All","All","7.81","N/A","7.89","7.74","2710"
"Life Satisfaction","2017","Indian","All","All","All","7.8","N/A","7.88","7.71","2500"
"Life Satisfaction","2012","Mixed / Multiple ethnic groups","All","All","All","7.1","N/A","7.24","6.95","970"
"Life Satisfaction","2013","Mixed / Multiple ethnic groups","All","All","All","7.35","N/A","7.51","7.19","950"
"Life Satisfaction","2014","Mixed / Multiple ethnic groups","All","All","All","7.1","N/A","7.24","6.96","1050"
"Life Satisfaction","2015","Mixed / Multiple ethnic groups","All","All","All","7.39","N/A","7.53","7.25","1020"
