"Title","Distance travelled by ethnicity and type of transport"
"Location","England"
"Time period","2011/15 "
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Type of Transport","%","Miles"
"All ethnic groups","Bicycle","1","53"
"All ethnic groups","Bus in London","1","81"
"All ethnic groups","Car / van driver","50","3,294"
"All ethnic groups","Car / van passenger","28","1,867"
"All ethnic groups","London Underground","1","85"
"All ethnic groups","Motorcycle ","0","33"
"All ethnic groups","Non-local bus","1","52"
"All ethnic groups","Other local bus","3","205"
"All ethnic groups","Other private transport","2","109"
"All ethnic groups","Other public transport","1","41"
"All ethnic groups","Surface Rail","8","554"
"All ethnic groups","Taxi / minicab","1","55"
"All ethnic groups","Walk","3","184"
"Asian","Bicycle","0","14"
"Asian","Bus in London","5","209"
"Asian","Car / van driver","40","1,806"
"Asian","Car / van passenger","27","1,186"
"Asian","London Underground","5","221"
"Asian","Motorcycle ","!","!"
"Asian","Non-local bus","!","!"
"Asian","Other local bus","3","149"
"Asian","Other private transport","1","45"
"Asian","Other public transport","1","24"
"Asian","Surface Rail","12","524"
"Asian","Taxi / minicab","1","41"
"Asian","Walk","4","172"
"Black","Bicycle","0","17"
"Black","Bus in London","14","596"
"Black","Car / van driver","32","1,406"
"Black","Car / van passenger","23","980"
"Black","London Underground","5","204"
"Black","Motorcycle ","!","!"
"Black","Non-local bus","!","!"
"Black","Other local bus","5","219"
"Black","Other private transport","!","!"
"Black","Other public transport","1","43"
"Black","Surface Rail","13","556"
"Black","Taxi / minicab","1","61"
"Black","Walk","4","187"
"Mixed","Bicycle","1","46"
"Mixed","Bus in London","4","180"
"Mixed","Car / van driver","30","1,415"
"Mixed","Car / van passenger","35","1,642"
"Mixed","London Underground","3","126"
"Mixed","Motorcycle ","!","!"
"Mixed","Non-local bus","!","!"
"Mixed","Other local bus","4","201"
"Mixed","Other private transport","!","!"
"Mixed","Other public transport","!","!"
"Mixed","Surface Rail","13","592"
"Mixed","Taxi / minicab","!","!"
"Mixed","Walk","5","224"
"White","Bicycle","1","58"
"White","Bus in London","1","45"
"White","Car / van driver","51","3,545"
"White","Car / van passenger","28","1,971"
"White","London Underground","1","67"
"White","Motorcycle ","1","38"
"White","Non-local bus","1","52"
"White","Other local bus","3","210"
"White","Other private transport","2","117"
"White","Other public transport","1","44"
"White","Surface Rail","8","558"
"White","Taxi / minicab","1","56"
"White","Walk","3","184"
"Other","Bicycle","1","43"
"Other","Bus in London","9","349"
"Other","Car / van driver","36","1,458"
"Other","Car / van passenger","27","1,081"
"Other","London Underground","5","213"
"Other","Motorcycle ","!","!"
"Other","Non-local bus","!","!"
"Other","Other local bus","4","144"
"Other","Other private transport","!","!"
"Other","Other public transport","!","!"
"Other","Surface Rail","10","421"
"Other","Taxi / minicab","!","!"
"Other","Walk","5","195"
