"Title","Share of income from wages, salaries or self-employment by ethnicity over time"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16"
"Ethnicity","%","%","%","%","%"
"Bangladeshi","60","58","60","64","64"
"Chinese","68","69","79","74","75"
"Indian","83","84","84","85","85"
"Pakistani","65","67","69","70","72"
"Asian other","75","73","75","74","76"
"Black","72","71","69","70","72"
"Mixed","77","74","75","77","78"
"White British","71","70","70","71","70"
"White other","83","82","86","86","87"
"Other","73","74","71","69","69"
