"Title","Share of income from benefits and tax credits by ethnicity over time"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16/03/2017"

"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16"
"Ethnicity","%","%","%","%","%"
"All","9","9","8","8","8"
"Bangladeshi","27","26","27","24","25"
"Chinese","4","4","4","3","3"
"Indian","8","6","6","6","5"
"Pakistani","24","24","22","21","18"
"Asian other","11","12","10","10","9"
"Black","17","19","20","19","17"
"Mixed","14","15","14","12","11"
"White British","10","9","9","8","8"
"White other","8","8","6","6","5"
"Other","12","12","14","14","13"
