"Title","Sources of household income by ethnicity"
"Location","UK"
"Time period","2013/14 to 2015/16 (3-year average)"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Income source","Ethnicity","%"
"Wages and salaries","All","64"
"Wages and salaries","Bangladeshi","57"
"Wages and salaries","Chinese","71"
"Wages and salaries","Indian","77"
"Wages and salaries","Pakistani","57"
"Wages and salaries","Asian other","66"
"Wages and salaries","Black","67"
"Wages and salaries","Mixed","71"
"Wages and salaries","White British","62"
"Wages and salaries","White other","78"
"Wages and salaries","Other","62"
"Self-employed income","All","8"
"Self-employed income","Bangladeshi","7"
"Self-employed income","Chinese","4"
"Self-employed income","Indian","8"
"Self-employed income","Pakistani","15"
"Self-employed income","Asian other","10"
"Self-employed income","Black","5"
"Self-employed income","Mixed","7"
"Self-employed income","White British","8"
"Self-employed income","White other","9"
"Self-employed income","Other","7"
"All other sources","All","28"
"All other sources","Bangladeshi","36"
"All other sources","Chinese","25"
"All other sources","Indian","15"
"All other sources","Pakistani","28"
"All other sources","Asian other","24"
"All other sources","Black","28"
"All other sources","Mixed","22"
"All other sources","White British","30"
"All other sources","White other","13"
"All other sources","Other","31"
