"Title","EBacc achievement by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","New grouping"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","Boys","All other pupils","21","190070","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","Boys","All other pupils","20","177753","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Boys","All other pupils","32","768","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Boys","All other pupils","!","26","NA","NA","Suppressed","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Boys","All other pupils","!","377","NA","NA","Suppressed","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Boys","All other pupils","25","11146","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","Boys","All other pupils","25","9414","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Boys","All other pupils","16","2798","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Boys","All other pupils","23","1079","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Boys","All other pupils","33","2180","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Boys","All other pupils","27","3357","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","Boys","All other pupils","27","21835","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Boys","All other pupils","36","6782","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Boys","All other pupils","18","8163","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Boys","All other pupils","25","2972","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Boys","All other pupils","32","3918","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","Boys","All other pupils","18","10594","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Boys","All other pupils","11","2710","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","Boys","All other pupils","21","6594","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Boys","All other pupils","15","1290","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","Boys","All other pupils","45","966","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","Boys","All other pupils","29","3182","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","Boys","All other pupils","19","2465","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","Boys","All other pupils","21","238526","NA","NA","","Non-FSM boys"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","Girls","All other pupils","31","183098","NA","NA","","Non-FSM Girls"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","Girls","All other pupils","31","171125","NA","NA","","Non-FSM Girls"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Girls","All other pupils","44","793","NA","NA","","Non-FSM Girls"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Girls","All other pupils","!","23","NA","NA","Suppressed","Non-FSM Girls"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Girls","All other pupils","!","400","NA","NA","Suppressed","Non-FSM Girls"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Girls","All other pupils","35","10757","NA","NA","","Non-FSM Girls"
