"Title","EBacc achievement by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","24","414528"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","27","22465"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","32","50515"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","23","27407"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","52","2008"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","22","145402"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","24","8130"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","27","21499"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","22","11496"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","47","591"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Academies and free schools","25","268711"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Academies and free schools","29","14288"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Academies and free schools","35","28983"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Academies and free schools","24","15874"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Academies and free schools","55","1416"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sponsored academies","13","64925"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sponsored academies","18","3759"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sponsored academies","22","7419"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sponsored academies","20","6173"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sponsored academies","40","277"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Converter academies","29","200260"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Converter academies","34","10292"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Converter academies","40","20958"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Converter academies","28","9482"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Converter academies","59","1127"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Free schools","21","1187"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Free schools","25","79"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Free schools","45","411"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Free schools","10","60"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Free schools","38","8"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","University technical colleges","3","1412"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","University technical colleges","!","108"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","University technical colleges","!","125"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","University technical colleges","!","130"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","University technical colleges","!","!"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Studio schools","2","927"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Studio schools","!","50"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Studio schools","!","70"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Studio schools","!","29"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Studio schools","!","!"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","8235"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","403"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","703"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","517"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","18"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded schools","24","422763"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded schools","27","22868"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded schools","31","51218"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded schools","23","27924"
