"Title","EBacc achievement by ethnicity, gender and religion of school"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Boys-Notes","Girls-Value","Girls-Denominator","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","No religious character","24","343946","NA","NA","","19","174264","","28","169682",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","No religious character","26","17889","NA","NA","","21","8942","","32","8947",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","No religious character","31","43374","NA","NA","","25","22332","","38","21042",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","No religious character","22","19147","NA","NA","","16","9576","","29","9571",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","No religious character","53","1641","NA","NA","","45","843","","61","798",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Church of England schools","26","22465","NA","NA","","21","11327","","30","11138",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Church of England schools","28","1361","NA","NA","","25","700","","31","661",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Church of England schools","33","2058","NA","NA","","30","1212","","38","846",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Church of England schools","24","2402","NA","NA","","17","1157","","30","1245",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Church of England schools","57","141","NA","NA","","54","72","","61","69",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","29","38676","NA","NA","","23","18915","","34","19761",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","31","2634","NA","NA","","26","1273","","36","1361",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","33","3435","NA","NA","","26","1818","","41","1617",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","28","5100","NA","NA","","21","2374","","34","2726",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","48","157","NA","NA","","40","68","","54","89",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","25","8522","NA","NA","","22","4411","","28","4111",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","32","544","NA","NA","","32","305","","33","239",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","42","837","NA","NA","","38","480","","49","357",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","22","711","NA","NA","","15","406","","31","305",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","52","67","NA","NA","","32","37","","77","30",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Jewish schools","38","918","NA","NA","","40","422","","36","496",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Jewish schools","37","27","NA","NA","","33","12","","40","15",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Jewish schools","46","37","NA","NA","","40","20","","53","17",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Jewish schools","54","13","NA","NA","","57","7","","50","6",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Jewish schools","!","x","NA","NA","Suppressed","!","x","Suppressed","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Muslim schools","!","x","NA","NA","Suppressed","N/A","0","Not applicable","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Muslim schools","!","9","NA","NA","Suppressed","!","x","Suppressed","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Muslim schools","53","614","NA","NA","","44","149","","55","465",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Muslim schools","35","34","NA","NA","","40","10","","33","24",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Muslim schools","N/A","0","NA","NA","Not applicable","N/A","0","Not applicable","N/A","0","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sikh school","!","x","NA","NA","Suppressed","!","x","Suppressed","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sikh school","!","x","NA","NA","Suppressed","!","x","Suppressed","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sikh school","!","x","NA","NA","Suppressed","!","x","Suppressed","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sikh school","!","x","NA","NA","Suppressed","!","x","Suppressed","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sikh school","!","x","NA","NA","Suppressed","!","x","Suppressed","!","x","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","24","414528","NA","NA","","19","209339","","29","205189",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","27","22465","NA","NA","","22","11233","","32","11232",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","32","50515","NA","NA","","25","26098","","39","24417",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","23","27407","NA","NA","","17","13530","","30","13877",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","52","2008","NA","NA","","44","1021","","61","987",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","No religious character","25","435878","NA","NA","","20","221063","","30","214815",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Church of England schools","26","29270","NA","NA","","22","14924","","31","14346",""
