"Title","Number of apprenticeship starts by ethnicity over time"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","FE data library: apprenticeships"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","Asian","Black","Mixed","White","Other","Unknown","Ethnic minority (excl. White minorities)"
"Year","Starts","Starts","Starts","Starts","Starts","Starts","Starts","Starts"
"2002/03","167,700","3,510","2,560","1,770","157,270","1,060","1,520","8,900"
"2003/04","193,600","4,210","2,820","2,260","182,140","670","1,460","9,960"
"2004/05","189,000","4,660","2,920","2,460","176,450","820","1,720","10,860"
"2005/06","175,000","4,100","2,350","2,310","164,120","750","1,340","9,510"
"2006/07","184,400","4,680","2,430","2,660","172,470","750","1,440","10,520"
"2007/08","224,800","6,500","3,600","3,150","208,230","1,000","2,290","14,250"
"2008/09","239,900","9,450","5,110","3,840","217,890","1,220","2,450","19,620"
"2009/10","279,700","9,390","6,390","5,020","254,780","1,430","2,660","22,230"
"2010/11","457,200","19,270","14,610","8,290","407,050","3,440","4,550","45,610"
"2011/12","520,600","20,720","17,350","9,850","464,960","3,430","4,270","51,350"
"2012/13","510,200","19,690","16,590","10,110","455,440","3,380","5,010","49,770"
"2013/14","440,400","18,600","13,650","9,470","391,480","3,110","4,110","44,830"
"2014/15","499,900","21,510","17,250","10,930","442,340","3,500","4,380","53,190"
"2015/16","509,400","21,380","17,500","11,100","448,830","3,500","7,060","53,480"
